epoch,loss,accuracy
1,0.01701636542201122,0.8407
2,0.009472979265937235,0.9161
3,0.006505230407933314,0.939
4,0.005936348012905467,0.9328
5,0.0055833206866113694,0.9381
6,0.005247289609901974,0.9436
7,0.005145461111517229,0.944
8,0.004988582148566424,0.9442
9,0.004839932037197662,0.9472
10,0.0045495593788216935,0.9489
11,0.004537403165148691,0.9486
12,0.004382957486829915,0.95
13,0.004238767071637841,0.9468
14,0.0041719344001956895,0.9549
15,0.0043275620645365775,0.9509
16,0.004129045769491943,0.9537
17,0.004027700781338764,0.9473
18,0.004040708181881353,0.9496
19,0.004147754820709497,0.9523
20,0.0040704604270186216,0.9559
21,0.003834739756994156,0.9508
22,0.0037552718195217652,0.9571
23,0.0036914381235453168,0.9549
24,0.003638685342890124,0.9583
25,0.0037037535817490428,0.9564
26,0.0036155785652096273,0.9561
27,0.0036066394107150553,0.9595
28,0.0034140817123249987,0.9585
29,0.0033844623721421387,0.9518
30,0.0033958560281455203,0.9554
31,0.003329765822208457,0.9584
32,0.00332490072169324,0.958
33,0.0034245175152679695,0.9561
34,0.003360872332112863,0.9585
35,0.003203948983642657,0.9612
36,0.0031632785112984747,0.9633
37,0.0030633670684839594,0.9605
38,0.0030808304476386693,0.9607
39,0.0030902618295179205,0.9606
40,0.0031034188906429437,0.9607
41,0.0031300522622122813,0.9601
42,0.003057053585202003,0.963
43,0.003000989528439426,0.9593
44,0.0030771225518232393,0.9589
45,0.002936658046463889,0.9621
46,0.0029152570872096944,0.9631
47,0.0028703612173624758,0.9624
48,0.0029271811774691367,0.9628
49,0.002767160178984338,0.9617
50,0.0029069884026792967,0.9618
